name,tier,active,aliases
陈奕迅,S,true,Eason Chan/Eason/陳奕迅
孙燕姿,S,true,Stefanie Sun/孫燕姿
王菲,S,true,Faye Wong/王菲
林俊杰,S,true,JJ Lin/林俊傑
周杰伦,S,true,Jay Chou/周杰倫
五月天,S,true,Mayday/五月天
张学友,S,true,Jacky Cheung/張學友
张信哲,A,true,Jeff Chang/張信哲
王力宏,A,true,Leehom Wang/Wang Leehom
陶喆,A,true,David Tao/陶喆
李宇春,A,true,Chris Lee/Li Yuchun
张靓颖,A,true,Jane Zhang/張靚穎
张杰,A,true,Jason Zhang/張傑
薛之谦,A,true,Joker Xue/薛之謙
李荣浩,A,true,Ronghao Li/李榮浩
蔡健雅,A,true,Tanya Chua/蔡健雅
徐佳莹,A,true,Lala Hsu/徐佳瑩
梁静茹,A,true,Fish Leong/梁靜茹
刘若英,A,true,Rene Liu/劉若英
陈绮贞,B,true,Cheer Chen/陳綺貞
袁娅维,B,true,Tia Ray/袁婭維
郁可唯,B,true,Yisa Yu/鬱可唯
单依纯,B,true,Shan Yichun/單依純
杨千嬅,A,true,Miriam Yeung/楊千嬅
郑秀文,A,true,Sammi Cheng/鄭秀文
容祖儿,A,true,Joey Yung/容祖兒
陈慧娴,A,true,Priscilla Chan/陳慧嫻
陈慧琳,A,true,Kelly Chen/陳慧琳
苏打绿,A,true,Sodagreen/蘇打綠/吴青峰/吳青峰/Qing Feng Wu
毛不易,A,true,Mao Buyi/毛不易
许嵩,A,true,Vae Xu/許嵩
萧敬腾,A,true,Jam Hsiao/蕭敬騰
林宥嘉,A,true,Yoga Lin/林宥嘉
周深,A,true,Zhou Shen/Charlie Zhou/Zhoushen
汪苏泷,B,true,Silence Wang/汪蘇瀧
张远,B,true,Zhang Yuan
王铮亮,B,true,Wang Zhengliang
韦礼安,B,true,Weibird/William Wei/韋禮安
陈粒,B,true,Chen Li/陳粒
告五人,B,true,Accusefive/告五人
