event_id,artist,tour,city,region,venue,show_datetime,face_prices,onsale_datetime,official_url,secondary_url,piaoniu_url,priority,active
mtl_6a603a0be8d66b000193a6a3,汪苏泷,"Silence Wang 2026 ""Tomorrow World"" World Tour In Hong Kong",香港,HK,Kai Tak Stadium,2026-09-04T19:00,,,,https://www.moretickets.com/show-detail/silence-wang-hongkong-2026-concert?showId=6a603a0be8d66b000193a6a3&tourId=6a60386d961ac50001749658,https://x.piaoniu.com/activity/782022,auto,true
mtl_6a0edbfcff9aa00001849204,陈粒,"Chen Li ""One Grain"" 10th Anniversary Tour Concert 2026 IN HONG KONG",香港,HK,Hong Kong Coliseum ,2026-08-09T19:00,,,,https://www.moretickets.com/show-detail/chenli-hongkong-2026-concert?showId=6a0edbfcff9aa00001849204&tourId=6a0edbc44163d70001072dda,https://x.piaoniu.com/activity/775963,auto,true
mtl_69c4ad54f08f640001c6fd02,周杰伦,"Jay Chou ""Carnival II"" World Tour in Sydney",Sydney,CN,ENGIE Stadium,2026-11-21T19:00,,,,https://www.moretickets.com/show-detail/jaychou-sydney-2026-concert?showId=69c4ad54f08f640001c6fd02&tourId=69c4a519ab997a00010ab1a9,,auto,true
mtl_6a0ec9444163d70001051b96,周杰伦,"Jay Chou ""Carnival II"" World Tour 2027 in Kuala Lumpur",Wilayah Persekutuan Kuala Lumpur,CN,TM Stadium Nasional(formerly Stadium Bukit Jalil）,2027-01-23T19:00,,,,https://www.moretickets.com/show-detail/jaychou-kualalumpur-2027-concert?showId=6a0ec9444163d70001051b96&tourId=69c4a519ab997a00010ab1a9,,auto,true
mtl_69c4a672a220ef0001ff49d6,周杰伦,"Jay Chou ""Carnival II"" World Tour in Melbourne",Melbourne,CN,Marvel Stadium,2026-10-17T19:00,,,,https://www.moretickets.com/show-detail/jaychou-melbourne-2026-concert?showId=69c4a672a220ef0001ff49d6&tourId=69c4a519ab997a00010ab1a9,,auto,true
mtl_69f82621357a410001f102d7,周杰伦,"Jay Chou ""Carnival II"" World Tour 2027 in Singapore",Singapore,CN,Singapore National Stadium,2027-01-08T19:00,,,,https://www.moretickets.com/show-detail/jaychou-singapore-2027-concert?showId=69f82621357a410001f102d7&tourId=69c4a519ab997a00010ab1a9,,auto,true
mtl_694cc200d5ae490001ce2420,周杰伦,Morgan Jay: The Goofy Guy Tour in Hong Kong,香港,HK,Kitty Woo Stadium,2026-10-08T19:00,,,,https://www.moretickets.com/show-detail/694cc200d5ae490001ce2420?showId=694cc200d5ae490001ce2420&tourId=694cc00ad5ae490001cde60c,,auto,true
mtl_69845a197e1f9200019276a6,周杰伦,Morgan Jay: The Goofy Guy Tour in Taipei,澳门,MO,Legacy TERA,2026-10-06T19:00,,,,https://www.moretickets.com/show-detail/69845a197e1f9200019276a6?showId=69845a197e1f9200019276a6&tourId=694cc00ad5ae490001cde60c,,auto,true
mtl_6a4b74c7e74aee0001e6c3b5,张靓颖,"""Chasing"" Jane Zhang World Tour in Singapore",Singapore,CN,Marina Bay Sands Expo,2026-08-29T19:00,,,,https://www.moretickets.com/show-detail/janezhang-singapore-2026-concert?showId=6a4b74c7e74aee0001e6c3b5&tourId=693124c97eadd900013510b1,,auto,true
mtl_6a1fd952b3e381000118c307,杨千嬅,Miriam Yeung Live MY LIVE 1.0 World Tour Concert In GuangZhou,广州,CN,Tianhe Sports Centre Tianhe Stadium,2026-08-15T19:00,,,,https://www.moretickets.com/show-detail/miriamyeung-guangzhou-2026-concert?showId=6a1fd952b3e381000118c307&tourId=6a1fd870eac5760001f86bfc,https://x.piaoniu.com/activity/778022,auto,true
mtl_6a0d723d4163d70001e31e80,林宥嘉,"Yoga Lin ""Super Steward"" Tour Concert In Shanghai",上海,CN,Hongkou Football Stadium,2026-08-15T19:00,,,,https://www.moretickets.com/show-detail/yoga-lin-shanghai-2026-concert?showId=6a0d723d4163d70001e31e80&tourId=6a0d6e674163d70001e2ad3c,https://x.piaoniu.com/activity/774680,auto,true
mtl_6a113a0531184d000141e817,周深,ZHOUSHEN 2026 SHENSHEN'S CONCERT TOUR IN Guiyang,Guiyang,CN,Guiyang Olympic Sports Center Stadium,2026-08-09T19:00,,,,https://www.moretickets.com/show-detail/zhoushen-guiyang-2026-concert?showId=6a113a0531184d000141e817&tourId=6a1137a331184d000141a434,,auto,true
mtl_69eb1649ca341400013c6d48,孙燕姿, 孙燕姿《就在日落以后》巡回演唱会,杭州,CN,杭州奥体中心体育场（大莲花）,2026-10-09T19:00,,,,https://www.motianlun.cn/show-detail/show-detail?showId=69eb1649ca341400013c6d48,https://x.piaoniu.com/activity/754025,auto,true
mtl_69e9f46e1bf6330001dd4aab,孙燕姿,孙燕姿《就在日落以后》巡回演唱会,天津,CN,天津奥林匹克中心体育场,2026-09-11T19:00,,,,https://www.motianlun.cn/show-detail/show-detail?showId=69e9f46e1bf6330001dd4aab,https://x.piaoniu.com/activity/580415,auto,true
mtl_69eb15cddabe840001c63c0e,孙燕姿,孙燕姿《就在日落以后》巡回演唱会,长沙,CN,长沙贺龙体育中心体育场,2026-11-06T19:00,,,,https://www.motianlun.cn/show-detail/show-detail?showId=69eb15cddabe840001c63c0e,https://x.piaoniu.com/activity/774654,auto,true
mtl_69eb16b469f432000151d062,孙燕姿,孙燕姿《就在日落以后》 巡回演唱会,广州,CN,广州待定,敬请期待,,,,https://www.motianlun.cn/show-detail/show-detail?showId=69eb16b469f432000151d062,,auto,true
mtl_69fc2c9d783a46000179280a,周杰伦,爱在 南京 嘉年华2026周杰伦世界巡回演唱会,南京,CN,南京奥体中心体育场,2026-09-24T19:00,,,,https://www.motianlun.cn/show-detail/show-detail?showId=69fc2c9d783a46000179280a,https://x.piaoniu.com/activity/764715,auto,true
mtl_69fc28872f5124000134bd75,周杰伦,爱琴海 青岛 嘉年华2026周杰伦世界巡回演唱会,青岛,CN,青岛市民健身中心体育场,2026-10-03T19:00,,,,https://www.motianlun.cn/show-detail/show-detail?showId=69fc28872f5124000134bd75,https://x.piaoniu.com/activity/779166,auto,true
mtl_69f088a2300f6f000101d62c,周杰伦,阳光 三亚 嘉年华2026周杰伦世界巡回演唱会,三亚,CN,三亚市体育中心白鹭体育场,2026-12-18T19:00,,,,https://www.motianlun.cn/show-detail/show-detail?showId=69f088a2300f6f000101d62c,https://x.piaoniu.com/activity/780839,auto,true
mtl_69fc2c409bcf12000107df36,周杰伦,广州·蜗牛 嘉年华2026周杰伦世界巡回演唱会,广州,CN,广州待定,敬请期待,,,,https://www.motianlun.cn/show-detail/show-detail?showId=69fc2c409bcf12000107df36,,auto,true
mtl_6a66dc4767801500014c5579,周杰伦,兰亭序 武汉 嘉年华2027周杰伦世界巡回演唱会,武汉,CN,武汉待定,2027-04-09T19:00,,,,https://www.motianlun.cn/show-detail/show-detail?showId=6a66dc4767801500014c5579,,auto,true
mtl_6a0d97e5f902650001c14de5,王力宏,王力宏「最好的地方II」世界巡回演唱会,苏州,CN,苏州奥林匹克体育中心体育场,2026-08-14T19:00,,,,https://www.motianlun.cn/show-detail/show-detail?showId=6a0d97e5f902650001c14de5,https://x.piaoniu.com/activity/777242,auto,true
mtl_69eb409ddabe840001dddea6,王力宏,王力宏「最好的地方II」世界巡回演唱会,天津,CN,天津奥林匹克中心体育场,2026-08-28T19:00,,,,https://www.motianlun.cn/show-detail/show-detail?showId=69eb409ddabe840001dddea6,https://x.piaoniu.com/activity/767725,auto,true
mtl_69fefbe5fc3ddd00010171ac,王力宏,王力宏「最好的地方II」世界巡回演唱会,西安,CN,西安奥体中心体育场,2026-08-02T19:00,,,,https://www.motianlun.cn/show-detail/show-detail?showId=69fefbe5fc3ddd00010171ac,,auto,true
